Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,37.500000,38.200001,37.299999,37.400002,34.449951,37141
2019-06-28,37.349998,37.599998,36.849998,37.049999,34.127556,24383
2019-07-01,37.400002,38.549999,37.349998,37.950001,34.956570,76405
2019-07-02,39.000000,39.150002,38.400002,38.750000,35.693462,61470
2019-07-03,39.700001,40.750000,39.000000,39.799999,36.660641,119224
2019-07-04,40.299999,40.450001,39.549999,39.599998,36.476414,89700
2019-07-05,40.000000,40.250000,33.500000,36.000000,33.160378,224579
2019-07-08,36.700001,36.700001,34.150002,34.500000,31.778696,112472
2019-07-09,35.849998,35.849998,33.549999,34.450001,31.732641,50083
2019-07-10,34.400002,35.349998,34.400002,35.150002,32.377426,49325
2019-07-11,35.250000,35.400002,34.400002,34.549999,31.824751,31744
2019-07-12,34.700001,35.049999,34.500000,34.650002,31.916866,18101
2019-07-15,34.900002,34.900002,33.799999,34.000000,31.318134,27949
2019-07-16,33.950001,34.700001,33.900002,34.500000,31.778696,13517
2019-07-17,34.250000,35.299999,34.250000,34.349998,31.640526,52492
2019-07-18,34.000000,34.500000,33.599998,33.750000,31.087854,21166
2019-07-19,33.799999,33.849998,33.299999,33.400002,30.765463,20772
2019-07-22,34.700001,34.700001,32.500000,33.000000,30.397015,19928
2019-07-23,33.000000,33.250000,32.500000,32.650002,30.074623,42363
2019-07-24,32.500000,32.950001,32.200001,32.349998,29.798285,40444
2019-07-25,33.150002,33.250000,32.500000,32.549999,29.982508,46280
2019-07-26,32.450001,32.599998,32.000000,32.299999,29.752228,42079
2019-07-29,32.450001,34.000000,32.299999,32.750000,30.166733,42358
2019-07-30,33.349998,33.349998,31.799999,31.950001,29.429836,21037
2019-07-31,32.099998,34.450001,31.500000,33.450001,30.811520,90769
2019-08-01,34.200001,34.200001,32.400002,32.450001,29.890398,16919
2019-08-02,32.299999,32.900002,32.150002,32.500000,29.936453,25319
2019-08-05,31.500000,31.500000,29.799999,29.950001,27.587593,70704
2019-08-06,29.299999,29.750000,27.500000,27.750000,25.561125,136279
2019-08-07,28.049999,28.049999,26.500000,26.750000,24.640003,53270
2019-08-08,26.750000,26.900000,26.000000,26.750000,24.640003,106752
2019-08-09,26.600000,27.600000,26.600000,26.750000,24.640003,42181
2019-08-13,26.799999,26.850000,26.000000,26.200001,24.133387,25239
2019-08-14,26.250000,26.400000,25.700001,25.750000,23.718884,25893
2019-08-16,25.700001,26.450001,25.299999,26.299999,24.225498,30267
2019-08-19,26.000000,26.799999,26.000000,26.400000,24.317612,31320
2019-08-20,26.350000,26.700001,26.299999,26.450001,24.363668,7210
2019-08-21,26.250000,26.549999,25.150000,25.299999,23.304377,20705
2019-08-22,25.000000,25.000000,23.799999,24.000000,22.106920,22408
2019-08-23,23.850000,25.000000,23.700001,24.700001,22.751705,28300
2019-08-26,25.049999,25.850000,24.700001,25.549999,23.534657,31968
2019-08-27,25.500000,26.900000,25.400000,26.600000,24.501837,14662
2019-08-28,26.950001,27.150000,25.700001,26.000000,23.949162,14873
2019-08-29,26.799999,26.950001,26.150000,26.500000,24.409723,12969
2019-08-30,26.900000,26.900000,26.250000,26.600000,24.501837,11330
2019-09-03,26.799999,26.799999,26.100000,26.200001,24.133387,4630
2019-09-04,26.250000,26.700001,26.000000,26.600000,24.501837,18512
2019-09-05,26.600000,27.250000,26.500000,26.750000,24.640003,160235
2019-09-06,26.799999,27.200001,26.650000,26.799999,24.686060,21058
2019-09-09,25.950001,26.850000,25.950001,26.600000,25.226631,29003
2019-09-11,26.950001,27.950001,26.750000,27.049999,25.653397,103545
2019-09-12,27.400000,28.250000,27.200001,27.350000,25.937908,45646
2019-09-13,27.650000,28.250000,27.350000,28.000000,26.554348,83076
2019-09-16,27.900000,29.600000,27.350000,28.049999,26.601765,92409
2019-09-17,27.950001,27.950001,26.500000,26.600000,25.226631,59248
2019-09-18,26.850000,26.900000,26.299999,26.299999,24.942120,13698
2019-09-19,26.100000,26.200001,25.650000,25.799999,24.467934,22159
2019-09-20,25.500000,26.950001,25.049999,25.600000,24.278261,116695
2019-09-23,26.450001,26.700001,26.000000,26.100000,24.752445,140379
2019-09-24,26.100000,26.900000,25.950001,26.650000,25.274048,131060
2019-09-25,26.850000,27.400000,25.900000,26.250000,24.894701,181710
2019-09-26,26.150000,26.400000,25.850000,25.950001,24.610191,61913
2019-09-27,26.200001,26.200001,25.600000,25.650000,24.325680,76198
2019-09-30,25.500000,25.500000,24.600000,24.750000,23.472147,21575
2019-10-01,25.750000,25.750000,23.900000,24.100000,22.855707,61437
2019-10-03,23.950001,24.450001,23.799999,24.049999,22.808287,64411
2019-10-04,25.350000,25.450001,24.450001,24.600000,23.329891,111163
2019-10-07,24.500000,25.000000,24.250000,24.350000,23.092800,45506
2019-10-09,24.900000,24.900000,24.250000,24.650000,23.377310,72749
2019-10-10,24.250000,24.900000,24.250000,24.750000,23.472147,29825
